no,hi,x,y,c1,c2,ht
118,5.5,11.55,16.89,1.75,1.93,8.676349975
119,20.6,10.13,17.28,4.58,4.67,12.05113994
120,7.2,10.59,18.39,3.25,1.84,9.760521026
121,6,10.64,18.49,1.96,1.25,9.052813817
122,6.9,11.48,18.99,2.39,2.16,9.605127246
123,8.4,12.14,19.17,2.53,2.58,10.27472881
124,16.5,12.39,19.07,2.94,3.13,11.76489977
125,13.6,14.78,19.07,2.3,2.19,11.44593266
126,8.4,14.78,18.88,1.95,2,10.27472881
127,10.6,15.8,18.98,2.57,2.42,10.91575044
128,5.9,15.7,19.16,1.47,1.3,8.982036302
129,11.9,16.2,19.17,2.5,1.9,11.18020275
130,4.9,17,19.58,1.45,1.17,8.138939559
131,6.3,17.1,19.58,1.27,1.16,9.252976867
132,3.9,17.75,19.15,0.85,1,6.964387889
133,11.7,18.8,18.96,2.35,2.63,11.14352924
134,5.1,18.65,18.67,1.3,1.45,8.329791317
135,4.8,18.4,18.61,1.34,1.16,8.038677114
136,4.4,17.6,17.96,1.85,1.04,7.602066548
137,15,17.75,17.69,3.43,3.4,11.61662527
